Country,Cases,Deaths,Region
Myanmar,375,6,Asia
,,,
Faeroe Islands,373,0,Europe
,,,
Mauritius,346,10,Africa
,,,
Isle of Man,336,24,Europe
,,,
Martinique,336,16,North America
,,,
Papua New Guinea,333,3,Australia/Oceania
,,,
Sint Maarten,317,17,North America
,,,
Turks and Caicos,298,2,North America
,,,
Mongolia,298,0,Asia
,,,
Eritrea,285,0,Africa
,,,
Cambodia,273,0,Asia
,,,
Gibraltar,217,0,Europe
,,,
Cayman Islands,203,1,North America
,,,
French Polynesia,166,0,Australia/Oceania
,,,
Bermuda,162,9,North America
,,,
Barbados,151,7,North America
,,,
Monaco,146,4,Europe
,,,
Brunei ,142,3,Asia
,,,
Bhutan,141,0,Asia
,,,
Seychelles,127,0,Africa
,,,
Saint Martin,109,4,North America
,,,
Liechtenstein,94,1,Europe
,,,
Antigua and Barbuda,93,3,North America
,,,
St. Vincent & Grenadines,57,0,North America
,,,
Macao,46,0,Asia
,,,
Curaçao,34,1,North America
,,,
Fiji,28,1,Australia/Oceania
,,,
Saint Lucia,25,0,North America
,,,
Timor-Leste,25,0,Asia
,,,
Grenada,24,0,North America
,,,
New Caledonia,23,0,Australia/Oceania
,,,
Laos,22,0,Asia
,,,
Dominica,18,0,North America
,,,
Saint Kitts & Nevis,17,0,North America
,,,
Greenland,14,0,North America
,,,
Montserrat,13,1,North America
,,,
Caribbean Netherlands,13,0,North America
,,,
Falkland Islands,13,0,South America
,,,
Saint Barthelemy,13,0,North America
,,,
Holy See,12,0,Europe
,,,
Western Sahara,10,1,Africa
,,,
MS Zaandam,9,2,
,,,
British Virgin Islands,9,1,North America
,,,
Saint Pierre & Miquelon,4,0,North America
,,,
Anguilla,3,0,North America
